ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_low,Product_importance_medium,Gender_M,Cost_to_Weight_Ratio
7921,4,1,261,2,9,4158,False,False,True,False,True,False,False,True,False,0.06277056277056277
1530,3,3,162,2,26,1659,False,False,False,True,False,True,True,False,False,0.09764918625678119
10522,3,2,221,2,9,4466,True,False,False,False,False,True,False,True,True,0.04948499776085983
9559,3,5,157,4,2,4640,False,False,True,False,False,True,False,True,False,0.03383620689655172
969,2,5,272,2,24,3638,False,False,False,False,False,False,True,False,True,0.07476635514018691
2734,4,5,254,3,29,3885,True,False,False,False,True,False,True,False,True,0.06537966537966539
56,2,5,246,5,46,2437,False,False,False,True,False,True,True,False,True,0.10094378334017234
1267,4,2,221,2,13,3097,False,False,True,False,False,True,True,False,False,0.07135938004520503
236,2,2,134,3,38,1352,False,False,False,True,False,True,True,False,True,0.09911242603550297
7046,4,4,153,5,9,5818,False,False,False,True,False,True,False,True,True,0.026297696803025093
5519,5,3,227,5,2,1965,False,True,False,False,False,True,False,True,True,0.11552162849872774
9088,3,3,250,3,9,4993,True,False,False,False,False,True,True,False,True,0.05007009813739235
2677,5,3,209,4,7,2675,False,False,True,False,False,True,False,True,False,0.07813084112149532
7436,6,5,240,3,4,5219,False,False,False,True,False,True,True,False,True,0.045985821038513126
10668,4,3,263,6,8,1123,False,False,False,True,True,False,False,True,True,0.2341941228851291
3045,4,4,243,3,10,3327,False,False,False,False,False,True,True,False,True,0.07303877366997295
9320,4,1,189,3,5,4133,False,False,False,True,False,False,False,True,True,0.04572949431405759
10773,4,4,229,5,7,1716,False,False,False,False,False,True,False,True,False,0.13344988344988346
7,3,4,250,3,3,2371,False,False,True,False,False,False,True,False,False,0.10544074230282581
1998,6,2,172,2,41,1006,False,False,False,True,False,True,True,False,True,0.1709741550695825
2339,2,5,255,4,36,2093,False,True,False,False,False,False,True,False,False,0.12183468705207835
2402,5,4,259,3,43,2685,False,False,False,True,False,True,False,True,False,0.09646182495344506
3999,3,3,256,3,8,4070,False,False,False,False,False,True,False,True,True,0.0628992628992629
9531,4,2,144,5,3,5807,False,False,False,False,False,True,True,False,False,0.024797657998966764
5419,5,5,209,2,3,4348,False,False,True,False,False,True,True,False,False,0.04806807727690893
3626,3,4,165,2,8,4280,False,False,False,True,False,True,False,True,False,0.038551401869158876
2788,5,4,264,10,34,2960,True,False,False,False,False,True,False,True,False,0.0891891891891892
1117,4,2,182,3,58,3943,False,False,True,False,False,True,True,False,True,0.0461577479076845
3708,5,4,142,2,7,5341,False,False,False,True,False,False,False,False,True,0.026586781501591463
7521,3,5,204,2,1,4133,False,False,False,False,True,False,True,False,True,0.049358819259617714
3344,5,1,255,3,6,5715,False,False,False,True,False,True,False,True,False,0.04461942257217848
134,5,4,280,6,51,3582,False,False,False,True,False,False,False,True,False,0.07816862088218872
2575,4,1,189,2,63,3474,False,False,True,False,False,True,False,True,False,0.054404145077720206
2752,5,3,225,7,45,3162,True,False,False,False,False,False,False,True,False,0.07115749525616698
2934,6,3,273,4,32,2532,False,False,False,True,False,True,False,True,False,0.10781990521327015
5275,7,5,292,5,5,1932,False,False,True,False,False,True,True,False,True,0.15113871635610765
6947,3,2,204,4,7,4768,False,True,False,False,False,True,False,True,True,0.04278523489932886
1381,6,5,118,2,6,1726,False,False,True,False,False,False,True,False,False,0.06836616454229433
3185,4,3,159,5,4,4666,False,True,False,False,False,True,True,False,True,0.034076296613801974
4042,5,5,243,2,9,4669,True,False,False,False,False,True,True,False,True,0.05204540586849432
7846,3,1,226,3,2,4831,True,False,False,False,False,True,False,False,True,0.04678120471951977
2125,3,2,250,5,36,2717,False,False,True,False,False,True,True,False,False,0.09201324990798675
2770,3,3,178,3,43,1517,True,False,False,False,False,True,False,False,True,0.11733684904416612
5354,4,3,167,3,1,4621,False,False,False,True,False,False,False,True,False,0.036139363774074874
1225,3,3,218,2,9,2069,False,False,True,False,True,False,False,True,True,0.10536491058482358
1027,3,1,138,5,8,1349,False,False,True,False,False,True,False,True,False,0.10229799851742032
6470,5,3,189,5,7,4869,False,False,False,True,False,True,True,False,True,0.038817005545286505
